sector.name,subsector.name,technology,year,minicam.energy.input,coefficient
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2090,elect_td_ind,0.0010611
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2095,elect_td_ind,0.0010611
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2100,elect_td_ind,0.0010611
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1975,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1990,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2005,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2010,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2015,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2020,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2025,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2030,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2035,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2040,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2045,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2050,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2055,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2060,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2065,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2070,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2075,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2080,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2085,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2090,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2095,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2100,H2 industrial,0.0032989
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1975,refined liquids industrial,1e-5
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1990,refined liquids industrial,1e-5
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2005,refined liquids industrial,1e-5
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2010,refined liquids industrial,1e-5
iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2015,refined liquids industrial,1e-5
