region,supplysector,subsector,stub.technology,minicam.energy.input,market.name,year,coefficient
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2055,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2060,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2065,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2070,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2075,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2080,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2085,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2090,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2095,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,refined liquids industrial,Central America and Caribbean,2100,0
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2015,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2020,1.87e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2025,1.8329524030657e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2030,1.7959048061313998e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2035,1.7588572091970996e-5
Central America and Caribbean,iron and steel,BLASTFUR,Biomass-based,wholesale gas,Central America and Caribbean,2040,1.7218096122627995e-5
