region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
European Free Trade Association,H2 central production,solar,electrolysis,2060,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2065,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2070,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2075,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2080,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2085,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2090,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2095,electrolyzer,3.673475
European Free Trade Association,H2 central production,solar,electrolysis,2100,electrolyzer,3.673475
European Free Trade Association,H2 central production,wind,electrolysis,1975,electrolyzer,3.6522
European Free Trade Association,H2 central production,wind,electrolysis,1990,electrolyzer,3.6522
European Free Trade Association,H2 central production,wind,electrolysis,2005,electrolyzer,3.6522
European Free Trade Association,H2 central production,wind,electrolysis,2010,electrolyzer,3.6522
European Free Trade Association,H2 central production,wind,electrolysis,2015,electrolyzer,3.6522
European Free Trade Association,H2 central production,wind,electrolysis,2020,electrolyzer,3.2386
European Free Trade Association,H2 central production,wind,electrolysis,2025,electrolyzer,2.242129884415567
European Free Trade Association,H2 central production,wind,electrolysis,2030,electrolyzer,1.552259130052913
European Free Trade Association,H2 central production,wind,electrolysis,2035,electrolyzer,1.074651572855106
European Free Trade Association,H2 central production,wind,electrolysis,2040,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2045,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2050,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2055,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2060,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2065,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2070,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2075,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2080,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2085,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2090,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2095,electrolyzer,0.91305
European Free Trade Association,H2 central production,wind,electrolysis,2100,electrolyzer,0.91305
India,H2 central production,solar,electrolysis,1975,electrolyzer,6.5753
India,H2 central production,solar,electrolysis,1990,electrolyzer,6.5753
India,H2 central production,solar,electrolysis,2005,electrolyzer,6.5753
India,H2 central production,solar,electrolysis,2010,electrolyzer,6.5753
India,H2 central production,solar,electrolysis,2015,electrolyzer,6.5753
India,H2 central production,solar,electrolysis,2020,electrolyzer,5.8237
India,H2 central production,solar,electrolysis,2025,electrolyzer,4.007565211040568
India,H2 central production,solar,electrolysis,2030,electrolyzer,2.7577964044752705
India,H2 central production,solar,electrolysis,2035,electrolyzer,1.897770992617727
India,H2 central production,solar,electrolysis,2040,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2045,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2050,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2055,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2060,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2065,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2070,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2075,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2080,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2085,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2090,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2095,electrolyzer,1.643825
India,H2 central production,solar,electrolysis,2100,electrolyzer,1.643825
India,H2 central production,wind,electrolysis,1975,electrolyzer,3.8182
India,H2 central production,wind,electrolysis,1990,electrolyzer,3.8182
