region,supplysector,subsector,stub.technology,year,minicam.non.energy.input,input.cost
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2005,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2010,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2015,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2020,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2025,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2030,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2035,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2040,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2045,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2050,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2055,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2060,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2065,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2070,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2075,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2080,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2085,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2090,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2095,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS,2100,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1975,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,1990,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2005,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2010,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2015,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2020,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2025,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2030,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2035,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2040,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2045,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2050,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2055,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2060,non-energy,0.0878
Africa_Eastern,iron and steel,BLASTFUR,BLASTFUR CCS with hydrogen,2065,non-energy,0.0878
